loincCode,type,notes
95942-9,ag,"COVID, FluA, FluB"
97099-6,ag,"COVID, FluA, FluB"
95941-1,pcr,"COVID, FluA, FluB"
95380-2,pcr,"COVID, FluA, FluB"
95423-0,pcr,"COVID, FluA, FluB"
95422-2,pcr,"COVID, FluA, FluB"
98733-9,ab,
99771-8,ag,
98846-9,ag,
98847-7,ag,
99774-2,ag,
99773-4,ag,
95209-3,ag,
94661-6,ab,
95825-6,ab,
98069-8,ab,
94762-2,ab,
95542-7,ab,
94769-7,ab,
96118-5,ab,
94504-8,ab,
94503-0,ab,
94558-4,ag,
96119-3,ag,
97097-0,ag,
96094-8,pcr,
98080-5,pcr,
96896-6,pcr,
96764-6,pcr,
96763-8,pcr,
94562-6,ab,
94768-9,ab,
95427-1,ab,
94720-0,ab,
95125-1,ab,
96742-2,ab,
94761-4,ab,
94563-4,ab,
94507-1,ab,
95429-7,ab,
94505-5,ab,
94547-7,ab,
95416-4,ab,
94564-2,ab,
94508-9,ab,
95428-9,ab,
94506-3,ab,
96895-8,seq,
100157-7,seq,
96957-6,pcr,
95521-1,pcr,
96898-2,pcr,
94510-5,pcr,
94311-8,pcr,
94312-6,pcr,
95522-9,pcr,
94760-6,pcr,
96986-5,pcr,
95409-9,pcr,
94533-7,pcr,
94756-4,pcr,
94757-2,pcr,
95425-5,pcr,
96448-6,pcr,
96958-4,pcr,
94766-3,pcr,
94316-7,pcr,
94307-6,pcr,
94308-4,pcr,
99596-9,ab,
95411-5,ab,
95410-7,ab,
97098-8,pcr,
98132-4,pcr,
98494-8,pcr,
96899-0,pcr,
94644-2,pcr,
94511-3,pcr,
94559-2,pcr,
95824-9,pcr,
94639-2,pcr,
97104-4,pcr,
98131-6,pcr,
98493-0,pcr,
94646-7,pcr,
94645-9,pcr,
96120-1,pcr,
94534-5,pcr,
96091-4,pcr,
94314-2,pcr,
96123-5,pcr,
99314-7,pcr,
94745-7,pcr,
94746-5,pcr,
94819-0,pcr,
94565-9,pcr,
94759-8,pcr,
95406-5,pcr,
96797-6,pcr,
95608-6,pcr,
94500-6,pcr,
95424-8,pcr,
94845-5,pcr,
94822-4,pcr,
94660-8,pcr,
94309-2,pcr,
96829-7,pcr,
96897-4,pcr,
94531-1,pcr,
95826-4,pcr,
94306-8,pcr,
96900-6,pcr,
94642-6,pcr,
94643-4,pcr,
94640-0,pcr,
95609-4,pcr,
96765-3,pcr,
94767-1,pcr,
94641-8,pcr,
96752-1,pcr,
96751-3,pcr,
99597-7,ab,
96603-6,ab,
98732-1,ab,
98734-7,ab,
96894-1,seq,
95970-0,seq,
100156-9,pcr,
96741-4,seq,
96755-4,seq,
94764-8,seq,
99772-6,ag,
95971-8,ag,
95974-2,ag,
95972-6,ag,
95973-4,ag,
94509-7,pcr,
96121-9,pcr,
94758-0,pcr,
95823-1,pcr,
94765-5,pcr,
94315-9,pcr,
96122-7,pcr,
94313-4,pcr,
94310-0,pcr,
94502-2,pcr,
94647-5,pcr,
94532-9,pcr,"COVID,MERS"
